Collection,Topic,State,Title,Publisher,Date,Format,Link,What it covers,Verified quotes,Who should read it,Limitations,Verified on
"Federal data, national labs and the grid","Federal government, national labs, grid reliability and energy data",,Energy and AI Observatory,International Energy Agency (IEA),Last updated 16 Jun 2025,Dataset,https://www.iea.org/data-and-statistics/data-tools/energy-and-ai-observatory,IEA's data platform companion to the Energy and AI report. It has 'Energy for AI' and 'AI for energy' sections and is meant to be updated regularly with data from IEA partners.,"""The IEA’s Energy and AI Observatory provides up-to-date data and analysis on the growing links between the energy sector and artificial intelligence (AI).""",Analysts and staff who need charts and data for presentations,,18 September 2026
"State policy, incentives and utility rates",State policy and legislation,Virginia,Data Centers in Virginia,"Joint Legislative Audit and Review Commission (JLARC), Virginia General Assembly","December 9, 2024 (per Virginia legislative document listing RD206); landing page undated",Web summary with links to full report,https://jlarc.virginia.gov/landing-2024-data-centers-in-virginia.asp,"JLARC reviewed the data center industry in Virginia at the Commission's 2023 direction. The summary finds that economic benefits come mostly from construction, that local governments with data centers collect substantial business personal property and real property tax revenue, and that an independent forecast shows unconstrained power demand in Virginia doubling within 10 years with data centers as the main driver. It finds data centers currently pay their full cost of service, but that growing demand is likely to raise costs for other customers, and it describes stranded cost risk for utilities and electric co-ops. It addresses backup diesel generator emissions, water use, homes near data centers, and low frequency noise, and lays out options to extend, let expire, or make partial the state sales and use tax exemption scheduled to expire in 2035. Recommendations include letting utilities delay but not deny service, a Dominion stranded cost plan filed with the SCC, and express local authority to require water use estimates, sound modeling studies and maximum sound levels.","""the data center industry is estimated to contribute 74,000 jobs, $5.5 billion in labor income, and $9.1 billion in GDP to Virginia's economy annually"" | ""For the five localities with relatively mature data center markets, data center revenue ranged from less than 1 percent to 31 percent of total local revenue."" | ""A typical residential customer of Dominion Energy could experience generation- and transmission-related costs increasing by an estimated $14 to $37 monthly in constant (or real) dollars by 2040"" | ""One-third of data centers are currently located near residential areas"" | ""providing $928 million in tax savings in FY23""","Local elected officials, planning and zoning staff, finance directors and economic development staff weighing data center proposals, and state legislators considering incentives or ratepayer rules.","The report notes that state and customer actions such as demand response and efficiency ""would have only a marginal impact on decreasing data center energy demand,"" and its forecasts depend on scenario assumptions about unconstrained and half-of-unconstrained demand. Findings are specific to Virginia.",18 September 2026
"State policy, incentives and utility rates",Utility rates and ratepayer protection,,Extracting Profits from the Public: How Utility Ratepayers Are Paying for Big Tech's Power,"Harvard Law School Environmental and Energy Law Program, Electricity Law Initiative (Eliza Martin and Ari Peskoe)","March 5, 2025",Research paper,https://eelp.law.harvard.edu/extracting-profits-from-the-public-how-utility-ratepayers-are-paying-for-big-techs-power/,"The summary page describes a paper by Eliza Martin and Ari Peskoe on how utilities serving new data centers for Amazon, Google, Meta, Microsoft and others expand their systems with new power plants and transmission lines, which utilities profit from building. It explains that regulated rates socialize a utility's costs among ratepayers and argues that the same structures now make the public pay for infrastructure built for a few large corporations. The authors reviewed regulatory proceedings on data center rates, describe how rate structures and secret contracts between utilities and data centers could transfer costs to the public, and offer recommendations to limit hidden subsidies. They also question whether utility regulators should be the ones deciding whether to subsidize data centers.","""The authors reviewed nearly 50 regulatory proceedings about utility rates for data centers."" | ""the paper explains how rate structures, as well as secret contracts between utilities and data centers, could be transferring Big Tech's energy costs to the public"" | ""It also provides recommendations to limit hidden subsidies in utility rates.""","Local officials and residents who intervene in or comment on utility rate cases, municipal utility boards, and anyone asking whether a data center deal will raise household bills.",none stated on the summary page (the full PDF was not read for this entry),18 September 2026
"State policy, incentives and utility rates",State policy and legislation,,Data center moratoriums are not a substitute for oversight,"Brookings Institution, TechTank (Nicol Turner Lee and Darrell M. West)","July 28, 2026",Web article,https://www.brookings.edu/articles/data-center-moratoriums-are-not-a-substitute-for-oversight/,"The article tracks the spread of moratoriums on data center construction, noting New York became the first state to impose one by executive order, pausing state environmental permits for data centers of at least 50 megawatts for up to one year, and that Maine's legislature passed a permitting bar that the governor vetoed. It notes a federal bill from Sen. Sanders and Rep. Ocasio-Cortez to pause AI data centers over 20 megawatts. It summarizes motivating concerns (electricity rates, water, air quality, noise, light) and the Memphis xAI dispute, and argues that moratoriums should be used for community benefit agreements, reporting requirements, town halls and state ratepayer protections, citing the Ratepayer Protection Act that advanced in the U.S. House.","""At least 15 states have weighed pauses on data center development, and at least 100 localities have already approved their own."" | ""New York recently became the first state to impose a moratorium through executive order, pausing state environmental permits for data centers using at least 50 megawatts of power for up to one year"" | ""officials and legislators at the state level need to implement protections for ratepayers whose electricity bills may be affected by surrounding developments"" | ""If enacted, moratoriums should provide time for raising questions, advancing community benefit agreements, and finding reciprocity in the infrastructure needs of host cities.""","Council members and commissioners considering a local pause, and staff designing what work a moratorium period should accomplish.","The authors note that impact estimates ""vary greatly since analysts lack access to proprietary company data on data center construction and operations."" The article's Table 1 of state moratoriums did not render as text and was not read.",18 September 2026
"State policy, incentives and utility rates",State policy and legislation,,Why data centers are a top issue in the 2026 midterms,"Brookings Institution, TechTank (Nicol Turner Lee and Darrell M. West)","August 25, 2026",Web article,https://www.brookings.edu/articles/why-data-centers-are-a-top-issue-in-the-2026-midterms/,"The article describes candidates in both parties campaigning against data centers, citing the Ohio Senate race, the Texas governor's race, and Pennsylvania Gov. Shapiro's executive order placing new rules on data center authorization. It compares a September 2025 Heatmap poll showing an even split with a 2026 Reuters/Ipsos survey showing majority opposition to rapid buildout, and ties the backlash to affordability and electricity bills. It argues that midterm outcomes could drive more moratoriums, pauses and audits like New York's.","""Forty-four percent supported their construction, while 42% opposed them."" | ""Seventy-seven percent say they worry data centers will increase their electricity rates, and in classic NIMBY ... fashion, only 14% say they would be willing to live close to a data center."" | ""He recently signed an executive order imposing new rules on the authorization of data centers""",Elected officials and communications staff gauging public sentiment before hearings or votes on data center projects.,none stated; poll figures are reported secondhand from Heatmap and Reuters/Ipsos,18 September 2026
"State policy, incentives and utility rates",Utility rates and ratepayer protection,Ohio,PUCO orders AEP Ohio to create data center specific tariff,Public Utilities Commission of Ohio (PUCO),"July 9, 2025",Regulator news release,https://puco.ohio.gov/news/puco-orders-aep-ohio-to-create-data-center-specific-tariff,"The release announces the PUCO order in case 24-508-EL-ATA adopting a settlement reached by AEP Ohio, PUCO staff, the Ohio Consumers' Counsel and others. It recognizes unprecedented load growth requiring major transmission construction and states the settlement protects non-data center customers from the cost-shifting risk of underused investments. It orders AEP Ohio to file updated tariffs and lift its moratorium on connecting new data centers, and gives the case history, including a competing settlement filed by Microsoft, the Data Center Coalition, Amazon Data Services, Google and others.","""the settlement safeguards other non-data center customers from cost-shifting risks of underused investments made to serve Ohio's growing data center industry"" | ""AEP Ohio is ordered to file updated tariffs and lift its moratorium on connecting new data centers as soon as possible."" | ""On May 14, 2024 AEP Ohio filed an application requesting new tariffs related to data center customers.""","Local officials in utility service territories facing data center load, and consumer advocates tracking how settlements are structured.",none stated,18 September 2026
"State policy, incentives and utility rates",Utility rates and ratepayer protection,Ohio,Data Center Tariff,AEP Ohio,"undated (describes a tariff effective July 23, 2025, with a February 2026 update)",Utility web page,https://www.aepohio.com/company/about/rates/data-center-tariff/,"The page states that PUCO adopted the Data Center Tariff settlement on July 9, 2025 and the tariff took effect July 23, 2025. It explains the mandatory application process, tiered load study fees for projects of 25,000 kW or more, a load ramp of up to four years, contract terms of the ramp plus eight years, collateral requirements for customers without strong credit, minimum demand charges, capacity assignment rules, aggregation of affiliated loads, behind-the-meter generation rules, and exit fees. It also notes the next study tranche begins October 1, 2026.","""The Letter of Agreement (LOA) requires customers to reimburse AEP Ohio 100% of the buildout costs if the customer cancels"" | ""the minimum demand cannot exceed 85% of the total contract capacity"" | ""must provide a guarantee or collateral at the time of signing the contract equal to 50% of the total minimum charges for the full term of the contract"" | ""The initial term of the contract will equal the load ramp period (no greater than four years) plus eight years.""","Local officials, economic developers and municipal utility staff who want to see concrete tariff terms that make a data center carry its own grid costs.",Utility-authored summary; the page says the full terms are in Schedule DCT itself.,18 September 2026
"State policy, incentives and utility rates",Utility rates and ratepayer protection,Georgia,PSC Approves Rule to Allow New Power Usage Terms for Data Centers,Georgia Public Service Commission,"January 23, 2025",PDF news release,https://psc.ga.gov/site/assets/files/8617/media_advisory_data_centers_rule_1-23-2025.pdf,"The release says the Georgia PSC unanimously approved a Georgia Power rule letting it bill new large customers under terms beyond standard rates. It ties the rule to the interim Integrated Resource Plan decision in docket 55378. Data centers would pay for upstream generation, transmission and distribution costs as construction progresses, contracts can run longer, minimum billing applies, and contracts at the 100 MW level go to the PSC for review. Commissioners say the rule is one of several actions and that data center usage will be addressed further in the 2025 Integrated Resource Plan.","""The new rule also allows for longer contract lengths (from 5-year contracts to 15-year contracts) and minimum billing requirements for high-load customers."" | ""any new Georgia Power contract with a company that fits the 100 MW usage category must be submitted to the PSC for review"" | ""data centers will need to bear the cost of their electricity acquisition""",Officials in states with investor-owned utilities who want a short example of a regulator-approved ratepayer protection rule.,none stated,18 September 2026
"State policy, incentives and utility rates",Utility rates and ratepayer protection,Virginia,"In Biennial Review Ruling, SCC Creates New Class for Large-Scale Energy Users",Virginia State Corporation Commission (SCC),"November 25, 2025",Regulator news release,https://www.scc.virginia.gov/about-the-scc/newsreleases/release/scc-issues-order-on-dev-biennial-review-2025/scc-rules-in-dev-biennial-review-case.html,"The release covers the SCC final order in Dominion Energy's 2025 biennial review, case PUR-2025-00058. It creates a GS-5 rate class for customers of 25 megawatts or more, effective January 1, 2027, with minimum payment obligations to insulate other ratepayers from build-out costs. It also cuts Dominion's requested base rate increases, sets the typical residential monthly increase, and sets the authorized return on equity at 9.8%.","""the new GS-5 rate class will comprise customers demanding 25 megawatts or more"" | ""certain large-scale customers will be required to pay a minimum of 85% of contracted distribution and transmission demand, and 60% of generation demand"" | ""For a typical residential customer, the approved rates would mean monthly increases of $11.24 in 2026""",Officials in data center markets and anyone comparing how state regulators build a separate rate class for very large users.,none stated,18 September 2026
"State policy, incentives and utility rates",State policy and legislation,Texas,"Bill Analysis, S.B. 6 (Enrolled)","Texas Senate Research Center, via Texas Legislature Online",8/5/2025,Official bill analysis,https://capitol.texas.gov/tlodocs/89R/analysis/html/SB00006F.htm,"The analysis explains SB 6's four goals: allocating transmission costs properly, grid reliability protections, credible load forecasting, and requiring large loads to share load shed obligations. Section 2 adds Utilities Code Sec. 37.0561 requiring PUC standards for interconnecting large loads, including a 75 MW default threshold, disclosure of duplicate requests elsewhere in Texas, disclosure of backup generation, a minimum study fee, proof of site control and financial commitments. Section 4 adds Sec. 39.169 on co-locating large loads with existing generation, subject to ERCOT study and PUC approval, and Sec. 39.170 requiring curtailment equipment for new transmission-voltage loads and a demand reduction service for loads of 75 MW or more. Section 6 directs the PUC to reevaluate the four coincident peak transmission cost method and amend rules by December 31, 2026.","""ERCOT estimates additional load growth between 130-150 Gigawatts (GWs) by 2030. This amount is almost double ERCOT's peak load of 86 GWs in 2024."" | ""Requires the PUC to establish a demand threshold of 75 megawatts unless the PUC determines that a lower threshold is necessary"" | ""a flat study fee of at least $100,000"" | ""requiring customers to be held harmless for stranded or underutilized transmission assets resulting from the behind-the-meter operation"" | ""not later than December 31, 2026, to amend PUC rules to ensure that wholesale transmission charges appropriately assign costs for transmission investment""",Officials in Texas and in other states considering statewide large-load interconnection standards; municipal utility and electric co-op boards (Sec. 37.0561(l) preserves their authority to add requirements).,Senate Research Center analyses summarize but are not the enrolled bill text itself.,18 September 2026
"State policy, incentives and utility rates",Missouri and Kansas,Missouri,Utility Tariffs for Large Load Customers in Missouri,Missouri Public Service Commission,undated (web page; also offered as a PDF fact sheet),Regulator web page / fact sheet,https://psc.mo.gov/General/Utility_Tariffs_for_Large_Load_Customers,"The page explains that Missouri Senate Bill 4 of 2025 required the PSC to adopt rates for large load customers, including data centers, that reflect their costs and keep other customers from unjust or unreasonable costs. It states that Ameren Missouri and Evergy have approved large-load tariffs and that the Liberty Utilities case (ET-2026-0184) is in progress. It lists the protections adopted: minimum service contracts, financial security and collateral, exit and early termination fees, a minimum monthly bill, cost stabilization recovery, and optional renewable and carbon-free programs at the customer's expense.","""provide collateral in the amount of two years of minimum monthly bills"" | ""a monthly demand charge set at 80% of the agreed upon rate""","Kansas City area and other Missouri local officials evaluating data center proposals in Ameren, Evergy or Liberty territory.",none stated,18 September 2026
"State policy, incentives and utility rates",Missouri and Kansas,Missouri,"Missouri passes new rules, costs for data centers and large power users","Kansas Reflector (Morgan Chilson), via News From The States","Nov 14, 2025",News article,https://www.newsfromthestates.com/article/missouri-passes-new-rules-costs-data-centers-and-large-power-users,"The article reports that the Missouri PSC approved Evergy's large-load tariff, supported by most parties but opposed by PSC staff and the Office of Public Counsel, whose alternative the chair called too complex. It notes large-load users are defined at 75 megawatts, paralleling the Kansas Corporation Commission order approved Nov. 6, where a large-user tariff was unanimously agreed to by all intervenors. Commissioners and Evergy describe the tariff as making large users bear infrastructure costs, with a premium rate higher than existing commercial and industrial customers pay.","""Large-load users were defined in the order as those requiring 75 megawatts per month at peak times, a parallel to the Kansas order approved Nov. 6 by the Kansas Corporation Commission."" | ""Missouri Public Service Commission staff and the Missouri Office of Public Counsel ... did not support the order."" | ""The rate for these new large customers is higher than that paid by existing commercial and industrial customers.""",Kansas City metro officials on both sides of the state line.,News coverage; the underlying orders are the primary documents.,18 September 2026
"State policy, incentives and utility rates",Missouri and Kansas,Kansas,KCC approves large load rate plan with consumer protections,Kansas Corporation Commission (KCC),"November 6, 2025",Regulator news release,https://www.kcc.ks.gov/news-11-6-25,"The release announces KCC approval of a unanimous settlement creating Evergy's Large Load Power Service (LLPS) plan for new or expanding customers of 75 MW or more, such as data centers and large manufacturers. Parties included KCC staff, the Citizens Utility Ratepayer Board, Kansas Industrial Consumers, the Data Center Coalition, Google, Evergy, Sierra Club, NRDC and several school districts. It sets a 12-year minimum contract plus up to 5 years of ramp, a minimum bill at 80% of contract demand, collateral of two years of minimum bills, and an exit fee equal to remaining minimum bills. Upgrades needed solely for the new customer are directly assigned to it, while transmission network upgrades are directed by the Southwest Power Pool under FERC.","""Customers on the plan will pay a minimum monthly bill based on 80% of their contract demand, regardless of actual usage."" | ""The contract term will be a minimum of 12 years, plus an optional load ramp period of up to 5 years"" | ""any system upgrades that are necessary solely to serve the new/expanded customers will be directly assigned to the new/expanded customer"" | ""Efforts were also made to design a plan that was competitive with other Large Load Tariffs throughout the country""","Kansas City metro and other Kansas local officials, school districts and ratepayer advocates in Evergy territory.",none stated,18 September 2026
"State policy, incentives and utility rates",Missouri and Kansas,Missouri,"Senate Substitute No. 2 for Senate Bill No. 4, 103rd General Assembly 2025 (Truly Agreed To and Finally Passed)",Missouri Senate,"2025 (First Regular Session, 103rd General Assembly)",PDF enacted bill text,https://www.senate.mo.gov/25info/pdf-bill/tat/SB4.pdf,"SB 4 repeals and re-enacts dozens of utility statutes, enacting thirty-two new sections relating to utilities. In the section immediately preceding 393.135 (subsection 7, on pages 40 to 41 of the PDF), it requires each electrical corporation serving more than 250,000 customers to submit tariff schedules for customers projected to have an annual peak demand of 100 megawatts or more, designed so those customers pay their representative share of costs and other classes are protected from unjust or unreasonable costs. Utilities with 250,000 or fewer customers must do the same at 50 megawatts, and the commission may order similar tariffs for smaller loads. Section 393.135 also allows construction work in progress for new natural gas generating units to be placed in rate base under limits. This is the statute that led to the Evergy and Ameren large-load tariffs described by the Missouri PSC.","""applicable to customers who are reasonably projected to have above an annual peak demand of one hundred megawatts or more"" | ""prevent other customer classes' rates from reflecting any unjust or unreasonable costs arising from service to such customers""","Missouri city and county attorneys and officials who need the statutory basis for large-load protections, and legislators in other states drafting similar language.",Long omnibus bill; only the large-load tariff provision and the construction work in progress provision were read for this entry.,18 September 2026
"State policy, incentives and utility rates",Tax incentives,,"Cloudy Data, Costly Deals: How Poorly States Disclose Data Center Subsidies",Good Jobs First,undated on page (report PDF is stored in the site's November 2025 uploads folder; cites sources accessed October and November 2025),Research report,https://goodjobsfirst.org/cloudy-data-costly-deals-how-poorly-states-disclose-data-center-subsidies/,"The study finds that at least 36 states have subsidies crafted for data centers, mostly sales and use tax exemptions, but only 11 disclose recipients (Table 1) while 24 do not (Table 2, which lists Missouri among non-disclosing states and notes Kansas's program is too new to assess). It examines disclosure of parent companies, subsidy amounts, jobs promised and created, wages, capital investment, locations and facility type, and highlights Indiana, Illinois, Nevada, Ohio and Washington as partial models. It computes subsidy cost per permanent job where data allow, describes double standards in North Carolina, Iowa and Virginia, and recommends eliminating data center subsidies or, short of that, sunsetting or reforming them with full disclosure of recipients, parent companies, amounts, jobs, wages and street addresses.","""At least 36 states have economic development subsidies specifically crafted for data center projects, but only 11 disclose which companies receive them"" | ""Not one state reports on both jobs promised and jobs actually created"" | ""they lose between 52 and 70 cents for every dollar they spend on data center sales tax exemptions"" | ""Illinois spends on average of $1.4 million per job at subsidized data centers."" | ""(Already, the legislatures of Georgia and Ohio voted to sunset, but their governors vetoed both bills.)""","Local finance directors, economic development staff and elected officials asked to layer local abatements on top of state exemptions, and anyone seeking to verify job promises.","The report says it focuses on state-level sales and use tax exemptions; the companion Stateline summary notes it does not account for local property tax abatements, corporate income tax credits, or discounts on electricity and water rates.",18 September 2026
"State policy, incentives and utility rates",Tax incentives,,Cloudy with a Loss of Spending Control: How Data Centers Are Endangering State Budgets,Good Jobs First (Kasia Tarczynska),April 2025,Research report,https://goodjobsfirst.org/cloudy-with-a-loss-of-spending-control-how-data-centers-are-endangering-state-budgets/,"The report examines state-level tax incentive programs crafted for data centers in 32 states, finding that 12 do not disclose even aggregate revenue losses. It lists what the exemptions typically cover (construction materials, servers and replacements, generators, cooling and more) and notes that state certification usually includes the local share of sales tax, effectively preempting local sales tax authority. Table 1 ranks the ten programs costing over $100 million a year. It describes reform efforts in Georgia, Washington and Virginia, argues that data center exemptions meet the GASB Statement No. 77 definition of tax abatement that governments using GAAP should disclose, and recommends canceling, capping or pausing the programs with robust disclosure.","""At least 10 states already lose more than $100 million per year in tax revenue to data centers"" | ""in the space of just 23 months, Texas revised its FY 2025 cost projection from $130 million to $1 billion"" | ""states effectively preempt local sales tax authority on data centers"" | ""in 2025, Georgia localities involuntarily lost $136 million to data center subsidies"" | ""every local government which uses GAAP accounting and which foregoes income to data centers, should be disclosing those revenue losses in a note in their Annual Comprehensive Financial Report, as prescribed by GASB Statement 77""","Local finance officers and auditors (for the GASB 77 point), and officials whose local sales tax share is swept into a state exemption.","The report says it ""looks only at state- level programs specifically crafted for the industry"" and treats electricity rate discounts, local property tax abatements and dedicated infrastructure as beyond its scope.",18 September 2026
"State policy, incentives and utility rates",Tax incentives,,"Many states don't report losses from data center tax breaks, study says",Stateline (Kevin Hardy),"April 15, 2026",News article,https://stateline.org/2026/04/15/many-states-dont-report-losses-from-data-center-tax-breaks-study-says/,"The article reports a new Good Jobs First finding that 14 states, including Missouri, do not disclose how much revenue they lose to data center tax breaks, while Georgia, Virginia and Texas report losses of $1 billion or more a year. It cites NCSL's count of states offering dedicated data center incentives and Good Jobs First's view that nondisclosure conflicts with Governmental Accounting Standards Board standards. It also notes Maine lawmakers' approval of a moratorium on data centers larger than 20 megawatts through November 2027, then pending before the governor.","""14 states do not disclose how much revenue they lose to data center tax breaks"" | ""report losing $1 billion or more per year to data center incentives"" | ""Currently, 38 states offer dedicated tax incentives for data centers, according to the National Conference of State Legislatures."" | ""Maine lawmakers this week approved a moratorium on data centers larger than 20 megawatts""","Missouri and other officials in non-disclosing states, and local budget staff tracking the cost of state incentives.",Part of this note was removed because a number in it could not be matched to the source page.,18 September 2026
"State policy, incentives and utility rates",Utility rates and ratepayer protection,,"With electricity bills rising, some states consider new data center laws",Stateline (Kevin Hardy),"February 5, 2026",News article,https://stateline.org/2026/02/05/with-electricity-bills-rising-some-states-consider-new-data-center-laws/,"It includes the Data Center Coalition's objection to rate structures that single out data centers, comments from mayors at the U.S. Conference of Mayors, and PJM's new data center plan. It is useful for seeing how states of both parties are approaching ratepayer protection.","""Republican and Democratic leaders in at least a dozen states have targeted data centers with separate, higher electric rates to protect other customers."" | ""Oregon last year became one of the first states to enact a law requiring utilities to charge data centers different electric prices than other industries"" | ""His bill would prohibit utilities from passing along the fuel, generation or transmission costs of data centers to other customers."" | ""Proposed regulations would require certain preapproval analysis for heavy power users, a separate rate tariff for data centers and collateral""","Local officials who want a quick national picture of how states are handling data center electricity costs, including mayors weighing recruitment against bill impacts.","News roundup of bills, many of which were pending at publication; outcomes should be checked against each state's legislature.",18 September 2026
"State policy, incentives and utility rates",Utility rates and ratepayer protection,,Electricity Rate Designs for Large Loads: Evolving Practices and Opportunities 2026 Update,Lawrence Berkeley National Laboratory (Natalie Mims Frick and Peter Cappers) and The Brattle Group,August 2026,Technical brief,https://eta-publications.lbl.gov/sites/default/files/2026-08/rate_designs_large_loads_2026.08.10.pdf,"The brief updates January 2025 research by analyzing a sample of 55 large-load tariffs drawn mainly from Halcyon's Large Load Tariff Tracker as of March 2026. It sorts tariff design elements into established, stable, emerging and declining practices (Table 4), covering minimum demand thresholds, minimum contract duration, monthly demand charges, minimum billing demand, load ramp periods, study and load forecast requirements, collateral, exit fees, direct assignment of costs and hold harmless provisions. Each element includes real examples, including AEP Ohio's Schedule DCT, Dominion's Schedule GS-5, Georgia Power, Evergy Missouri's Large Load Power Service, Salt River Project and Colorado Springs Utilities. It is written as a foundation for regulators, utilities, customers and stakeholders reviewing large-load tariffs.","""While thresholds vary widely, ranging from 0.3 MW to 150 MW, the majority (75%) of the tariffs fall between 5 and 100 MW, with a median of 25 MW."" | ""the median increasing from 5 years for tariffs proposed before 2025 to 12 years for tariffs proposed since 2025"" | ""Minimum billing demands are typically defined as a percentage of the customer's contract demand, with a median of 80% across the tariffs reviewed."" | ""Evergy Missouri's Large Load Power Service has a 75 MW minimum load requirement.""","Municipal utility boards, public power and co-op officials, and local governments that intervene in state rate cases and want to benchmark a proposed tariff.","The authors state the sample excludes most special contracts, transmission service agreements and line extension policies, and was drawn primarily from one tracker supplemented through April 2026. Quotes are from the full report PDF linked from the Berkeley Lab publication page.",18 September 2026
"State policy, incentives and utility rates",Utility rates and ratepayer protection,,DELTa: Database of Emerging Large-Load Tariffs,Smart Electric Power Alliance (SEPA) and NC Clean Energy Technology Center (NCCETC),undated (database updated quarterly per the page),Interactive map and downloadable database,https://sepapower.org/large-load-tariffs-database/,"The page describes DELTa as the first public, user-friendly database of contemporary utility tariffs and service rules for large loads such as data centers, with an interactive map, case summaries of approved and proposed tariffs, and a way to compare utility approaches. It states that SEPA and NCCETC track state regulatory activity and update it quarterly. Each included tariff targets objectives such as transparency and customer protection, customer commitments before utility investment, peak load management and clean energy, and size or operational thresholds.","""Explore this first-of-a-kind comprehensive map of over 100 large-load utility tariffs and service rules"" | ""NCCETC and SEPA regularly track state regulatory and policy activity and update DELTa quarterly.""",Local officials who want to look up whether their own utility has a proposed or approved large-load tariff and compare it with others.,"Downloading the full database requires submitting a name, email and company through a form.",18 September 2026
"State policy, incentives and utility rates",Utility rates and ratepayer protection,Oregon,POWER Act Biennial Report 2026: Oregon PUC Report to the Oregon Legislature,Oregon Public Utility Commission,"2026 (no day printed; cites events through August 11, 2026)",PDF legislative report,https://www.oregon.gov/puc/forms/Forms%20and%20Reports/2026%20POWER%20Act%20Legislative%20Report.pdf,"The report explains that the POWER Act directs the PUC to create a separate rate class and tariff schedule for data centers using 20 MW or more, directly assign their costs, mitigate cost shifting, and require contracts of 10 years or longer. It describes implementation through docket UM 2377 for Portland General Electric, approved in Order No. 26-239 on July 10, 2026, and docket UE 463 for Pacific Power, expected in late 2026. It reports measured rate changes after the PGE order, estimates the data center share of investor-owned utility load now and in 2030, and notes the PUC lacks visibility into data centers served by consumer-owned utilities and BPA. It also records municipal moratoriums in Hillsboro and Salem and 45-day notices by Woodburn and Clackamas County, plus FERC's June 2026 show cause orders on large-load interconnection.","""PGE customers have experienced an average decrease in electricity rates of 1.3 percent for residential customers, 2.1 percent decrease for commercial customers, and 1.4 percent decrease for industrial customers. Data centers within PGE's territory have seen an average rate increase of 29 percent."" | ""The PUC estimates that data center load comprises roughly 15 percent of the IOUs' current load, and will continue to grow, reaching 25 percent of IOU load by 2030."" | ""Oregon is the first in the nation to create a specific data center customer classification for electricity rate schedules."" | ""the Commission decided on a 10-year minimum contract length that scales up depending upon the anticipated electricity demands of the facility"" | ""Hillsboro was the first City in Oregon to enact a moratorium on new data center development applications.""",Officials in any state considering a statutory data center rate class; this is one of the few documents reporting actual bill outcomes after such a law.,"The report states ""The PUC lacks visibility into data center impacts outside of IOU service territories"" and that the Pacific Power decision was not yet final.",18 September 2026
"State policy, incentives and utility rates",Utility rates and ratepayer protection,Maryland,"Maryland Office of People's Counsel Response to the Commission's Request for Comments, Administrative Docket PC 72 (Large Load Customer Regulations and Tariffs Interconnecting to the Electric System Servicing Maryland)","Maryland Office of People's Counsel (David S. Lapp, People's Counsel)","August 10, 2026",PDF regulatory filing,https://opc.maryland.gov/Portals/0/Files/Publications/Others/20260810%20-%20OPC%20Comments%20-%20PC72.pdf,"The filing responds to the Maryland PSC's July 13, 2026 request for comments in docket PC 72. It summarizes large-load provisions of the 2025 Next Generation Energy Act as amended by the 2026 Utility RELIEF Act, and explains how PJM's proposed Reliability Backstop Procurement (FERC Docket ER26-3380) would assign 15 years of capacity costs to Maryland utility zones based on forecasted, not actual, data center demand. OPC estimates the potential cost to residential customers in the Potomac Edison and BGE zones and recommends that the PSC require large-load tariffs making data centers either commit to pay those costs by October 21, 2026 or provide load flexibility, and that it review utility Large Load Adjustments before they go to PJM. It cites Amazon abandoning a planned Calvert Cliffs data center as an example of forecast risk.","""OPC estimates that PJM's proposed methodology, if the RBP capacity is procured at the maximum price of $555/MW-day, exposes PE and BGE residential customers to as much as $483.2 million and $79.6 million in additional costs, respectively, over the next 15 years."" | ""The Utility RELIEF Act directs the Commission to take the actions necessary to prevent Maryland ratepayers from bearing costs and risk attributable to the development of new large load customers."" | ""Those LLA submissions can include data centers that may decide to abandon their project without making a commitment to fully cover the costs they cause.""","Officials in PJM states (including Maryland, Virginia, Ohio, Pennsylvania, New Jersey and Illinois) who want to understand how regional capacity markets pass data center costs to households even without local projects.","An advocacy filing by one party in a pending docket; the cost figures are OPC estimates under a maximum-price assumption and the filing notes they ""could be reduced based on opt-out or offset adjustments.""",18 September 2026
